Barcode,area_mean,major_axis_length_mean,minor_axis_length_mean,perimeter_mean,circularity_mean,eccentricity_mean,solidity_mean,int_gray_mean_mean,int_gray_sd_mean,int_s_mean_mean,int_s_sd_mean,int_a_mean_mean,int_a_sd_mean,int_b_mean_mean,int_b_sd_mean,area_sd,major_axis_length_sd,minor_axis_length_sd,perimeter_sd,circularity_sd,eccentricity_sd,solidity_sd,int_gray_mean_sd,int_gray_sd_sd,int_s_mean_sd,int_s_sd_sd,int_a_mean_sd,int_a_sd_sd,int_b_mean_sd,int_b_sd_sd
TCGA-A6-2672-01Z-00-DX1,915.7254155124654,42.48275661583478,27.03328023870352,117.12189530038889,0.8050216095042861,0.7286972571114806,0.9452658554527148,93.4562542624826,17.23646387634347,128.9969084952098,13.763781625168882,163.23986791705744,3.808371871976196,113.71309504991991,4.406334120306912,425.9877363559104,11.03605285749553,6.830644998575345,27.91824073410858,0.0958308369792263,0.1425999804760403,0.0441025620452976,9.257755527376778,4.000121906974128,9.488687454234812,3.0313355921146843,2.2569723328034343,0.7846528974777669,2.30926036267032,1.0589755032749988
TCGA-A6-2674-01Z-00-DX1,994.9298664122138,43.23307043897446,28.72962006937082,120.56885049028853,0.8192105184928856,0.7080732692793514,0.9504365559926852,76.01279362872744,22.345213430089625,124.27980259096864,22.273563802755792,153.9103321615869,3.63887041568654,105.54377474804906,4.523790636335828,470.1194925998802,10.351481718128689,7.688936938059337,27.45700498872936,0.0841741363435977,0.1468020434769075,0.0389915555872046,17.541066663507795,6.126350614936,16.536832840697414,4.887725675446234,1.806840613890027,0.8872342143804277,1.5444469749838732,1.383463275990047
TCGA-A6-2676-01Z-00-DX1,976.01201529219,41.11149082672913,29.75999680924944,118.64462184010704,0.8344583143125193,0.6545112251204033,0.9462724388766558,67.05550250436349,23.721898881137683,144.12831713633852,24.25236071669689,157.80640098883342,5.139747451297063,108.5907921495024,5.176540393796153,410.1633969970242,8.879209956938581,7.361416755900746,25.307606427148727,0.0841697564641759,0.1475629648195297,0.0432833837786184,13.050057223973443,8.347494053707354,13.073018934792389,6.696310609403181,2.217573263599955,1.097653513307676,1.5165319950055314,1.5947107499719495
TCGA-A6-2677-01Z-00-DX1,672.7577307602883,35.963881841800934,23.25351995565164,99.0536275630125,0.8218764361623602,0.7137953815784271,0.9448467750187052,55.371189964864406,18.08117849519861,154.09845679796834,21.263852488972933,156.52017761979036,5.37738397201422,110.02442928736184,4.203194267205597,338.00186237117725,10.346934426868629,6.261494434146257,26.01384428698994,0.0946500854361645,0.1516872459545617,0.0407629527191805,12.154926071814078,5.440373143517782,12.660145953722193,4.478207074016736,2.931345233817754,1.0746279675139854,1.8282465607591376,1.299683592481264
TCGA-A6-2678-01Z-00-DX1,888.5284231339594,41.15604582060842,27.3527043233398,115.07572633252074,0.8158550213847293,0.7011628562058485,0.9449910661488296,74.57283736573052,16.700534308611758,129.1077773203108,17.095400583539092,156.74830868517998,3.293727408159373,105.65344453327012,3.5763931184668247,372.3413410315619,9.726138406558745,6.249704170107814,24.202245938882125,0.093456838002953,0.1505781236191672,0.0431415994655711,10.4149681104253,4.233090912900212,10.519975912946164,3.9806088551960417,2.433252714084777,0.6673337187565762,2.0614497025539515,0.981712828778717
TCGA-A6-2680-01Z-00-DX1,999.4564080209242,45.15634039243293,27.98271769302487,123.71436599665375,0.7911241642144333,0.7432353608865916,0.9436587365014736,55.47995663246203,15.65888606076701,160.19507915195825,18.00632406248653,158.8172420107785,4.388412791611944,108.0980377404147,3.5871104468035435,452.084075105674,11.347880447923696,7.158913503746171,28.53302529483375,0.1001432617697406,0.1412760600804786,0.0489373711689596,10.402697764734176,5.012477285135664,11.186245454308176,3.918930698921831,2.1759314352938373,0.7292903899883469,2.28542993886563,1.132578951850019
TCGA-A6-2681-01Z-00-DX1,809.4012738853503,42.025746361955605,23.917202556806508,111.609066275543,0.7735118826276713,0.7837560244854509,0.9446270887562712,62.71495350643488,18.62710771041537,144.18342009797567,19.40102774224561,156.67774953624075,4.152480059191606,106.75356619285192,3.817059189586834,428.731917971152,12.107642112305344,7.088436233961974,29.883260951187182,0.0981097931934726,0.1331440893719439,0.0419929680977668,13.361325070969976,4.761209417783253,14.188278294613086,4.340141746885614,2.0936645677750825,0.8837845657457465,1.5923468691534584,1.0566452553349204
TCGA-A6-2683-01Z-00-DX1,899.7559078671852,43.197318294934526,25.97039284496604,116.82122651884204,0.7921857204346542,0.752524770388726,0.946185447037204,63.439377123421984,19.16044252266323,139.6514995190014,21.03081760597652,155.02912846580077,4.249975166721865,106.93824532302304,4.208452160894352,456.7282134134408,12.71686856537332,7.007346615852636,30.89406678427253,0.1017328221169912,0.1417637533956579,0.0431134699804057,13.962703714183762,5.525031106530994,14.561805389845674,4.960599663933185,2.656291787867742,0.9965367963596972,2.828738622055399,1.3866922552550396
TCGA-A6-2684-01Z-00-DX1,704.8541578725201,37.177267200959335,23.7095938033702,102.22185252986436,0.8112826423871476,0.7251034523457109,0.942018466373842,52.67626519316718,17.58538666362151,156.53625636496352,20.83272369089161,155.9759716280328,5.406087768774198,109.19710656649345,3.957995597413562,342.0192797469424,10.258536285331738,6.080542344701551,25.577214958710364,0.0937336561625504,0.1438690045140968,0.0416134598272749,11.770281311794088,6.558597323158841,11.633501134090803,4.84393459558887,2.801152149118813,0.9339702150697614,1.7844511560380074,1.3824959993271986
TCGA-A6-2685-01Z-00-DX1,812.9376158122298,40.303483167037136,25.26435639020747,110.2428674576455,0.8048533137535987,0.7344233427218785,0.9448649315388878,60.25255487952216,20.083909609318237,141.7793537731631,24.01521165415368,152.2866453663716,3.8578567460349062,101.99005994653837,3.8463463780327976,387.24236907768034,10.957472337834549,6.451200925634764,26.88325987306444,0.0936099578643483,0.1430447030834858,0.0424562772971299,11.711927606921842,5.880076711936359,13.233479026791612,5.033633200619965,1.584315957526765,0.8682617255039298,1.5484875686409858,1.4538751780273729
